freq,psd_x,psd_y,psd_z,psd_xyz
141.0,1.315e+04,8.728e+02,3.881e+03,1.791e+04
142.5,1.354e+04,8.752e+02,3.591e+03,1.801e+04
144.0,1.382e+04,7.411e+02,3.008e+03,1.757e+04
145.5,1.446e+04,5.211e+02,2.327e+03,1.730e+04
147.0,1.678e+04,4.483e+02,1.857e+03,1.909e+04
148.5,2.090e+04,4.827e+02,1.763e+03,2.314e+04
150.1,2.467e+04,5.421e+02,1.847e+03,2.706e+04
151.6,2.464e+04,7.153e+02,1.853e+03,2.721e+04
153.1,2.342e+04,8.650e+02,1.839e+03,2.612e+04
154.6,2.382e+04,9.473e+02,1.634e+03,2.640e+04
156.1,2.656e+04,1.065e+03,1.331e+03,2.896e+04
157.6,3.226e+04,1.163e+03,1.177e+03,3.460e+04
159.2,4.054e+04,1.251e+03,1.035e+03,4.282e+04
160.7,4.457e+04,1.322e+03,9.066e+02,4.680e+04
162.2,4.332e+04,1.343e+03,1.008e+03,4.567e+04
163.7,3.767e+04,1.160e+03,8.794e+02,3.971e+04
165.2,3.085e+04,1.119e+03,7.332e+02,3.270e+04
166.7,2.995e+04,1.384e+03,7.756e+02,3.211e+04
168.3,3.373e+04,1.826e+03,9.371e+02,3.649e+04
169.8,4.122e+04,2.452e+03,1.129e+03,4.480e+04
171.3,5.838e+04,3.196e+03,1.225e+03,6.280e+04
172.8,7.971e+04,3.823e+03,1.286e+03,8.482e+04
174.3,8.531e+04,4.242e+03,1.293e+03,9.085e+04
175.8,8.854e+04,4.934e+03,1.575e+03,9.504e+04
177.3,9.200e+04,5.592e+03,1.876e+03,9.947e+04
178.9,9.178e+04,5.825e+03,1.997e+03,9.960e+04
180.4,8.763e+04,6.040e+03,2.151e+03,9.583e+04
181.9,7.752e+04,5.947e+03,2.227e+03,8.569e+04
183.4,6.610e+04,6.368e+03,2.087e+03,7.456e+04
184.9,6.200e+04,7.297e+03,2.266e+03,7.156e+04
186.4,6.357e+04,7.893e+03,2.667e+03,7.413e+04
188.0,6.715e+04,7.799e+03,2.841e+03,7.779e+04
189.5,7.009e+04,7.569e+03,2.939e+03,8.060e+04
191.0,7.438e+04,7.519e+03,3.161e+03,8.506e+04
192.5,8.364e+04,8.506e+03,3.731e+03,9.588e+04
194.0,9.050e+04,9.544e+03,4.527e+03,1.046e+05
195.5,9.147e+04,1.064e+04,5.591e+03,1.077e+05
197.1,9.750e+04,1.143e+04,6.565e+03,1.155e+05
198.6,1.004e+05,1.051e+04,6.724e+03,1.176e+05
